Date,"Lifetime Likes by City - 6 October City, Giza Governorate, Egypt","Lifetime Likes by City - Abidjan, Lagunes, Côte d'Ivoire","Lifetime Likes by City - Abu Dhabi, United Arab Emirates","Lifetime Likes by City - Accra, Greater Accra Region, Ghana","Lifetime Likes by City - Addis Ababa, Ethiopia","Lifetime Likes by City - Agra, Uttar Pradesh, India","Lifetime Likes by City - Ahmedabad, Gujarat, India","Lifetime Likes by City - Al Ain, Abu Dhabi, United Arab Emirates","Lifetime Likes by City - Al Ajman, Emirate of Ajman, United Arab Emirates","Lifetime Likes by City - Alexandria, Alexandria Governorate, Egypt","Lifetime Likes by City - Allahabad, Uttar Pradesh, India","Lifetime Likes by City - Amman, Amman Governorate, Jordan","Lifetime Likes by City - Amritsar, Punjab region, India","Lifetime Likes by City - Assiut, Asyut Governorate, Egypt","Lifetime Likes by City - Aurangabad, Maharashtra, India","Lifetime Likes by City - Bandung, West Java, Indonesia","Lifetime Likes by City - Bangalore, Karnataka, India","Lifetime Likes by City - Bangkok, Thailand","Lifetime Likes by City - Bekasi, West Java, Indonesia","Lifetime Likes by City - Bhopal, Madhya Pradesh, India","Lifetime Likes by City - Bhubaneswar, Odisha, India","Lifetime Likes by City - Cairo, Cairo Governorate, Egypt","Lifetime Likes by City - Casablanca, Grand Casablanca, Morocco","Lifetime Likes by City - Chennai, Tamil Nadu, India","Lifetime Likes by City - Chittagong, Chittagong Division, Bangladesh","Lifetime Likes by City - Dar es Salaam, Tanzania","Lifetime Likes by City - Delhi, India","Lifetime Likes by City - Dhaka, Dhaka Division, Bangladesh","Lifetime Likes by City - Dubai, United Arab Emirates","Lifetime Likes by City - El-Mahalla el-Kubra, Gharbia Governorate, Egypt","Lifetime Likes by City - Gauhati, Assam, India","Lifetime Likes by City - Ghaziabad, Uttar Pradesh, India","Lifetime Likes by City - Giza, Giza Governorate, Egypt","Lifetime Likes by City - Hyderabad, Telangana, India","Lifetime Likes by City - Indore, Madhya Pradesh, India","Lifetime Likes by City - Jaipur, Rajasthan, India","Lifetime Likes by City - Jakarta, Indonesia","Lifetime Likes by City - Jeddah, Makkah Region, Saudi Arabia","Lifetime Likes by City - Kabul, Kabul Province, Afghanistan","Lifetime Likes by City - Kanpur, Uttar Pradesh, India","Lifetime Likes by City - Karachi, Sindh, Pakistan","Lifetime Likes by City - Kathmandu, Bagmati Zone, Nepal","Lifetime Likes by City - Kolkata, West Bengal, India","Lifetime Likes by City - Lagos, Lagos State, Nigeria","Lifetime Likes by City - Lahore, Punjab, Pakistan","Lifetime Likes by City - London, England, United Kingdom","Lifetime Likes by City - Lucknow, Uttar Pradesh, India","Lifetime Likes by City - Ludhiana, Punjab region, India","Lifetime Likes by City - Malappuram, Kerala, India","Lifetime Likes by City - Manama, Capital Governorate, Bahrain","Lifetime Likes by City - Mansoura, Dakahlia Governorate, Egypt","Lifetime Likes by City - Medan, North Sumatra, Indonesia","Lifetime Likes by City - Minya, Minya Governorate, Egypt","Lifetime Likes by City - Mumbai, Maharashtra, India","Lifetime Likes by City - Nagpur, Maharashtra, India","Lifetime Likes by City - Nairobi, Kenya","Lifetime Likes by City - Nangloi Jat, Delhi, India","Lifetime Likes by City - Navi Mumbai (New Mumbai), Maharashtra, India","Lifetime Likes by City - New Delhi, Delhi, India","Lifetime Likes by City - New York, NY","Lifetime Likes by City - Noida, Uttar Pradesh, India","Lifetime Likes by City - Patna, Bihar, India","Lifetime Likes by City - Pretoria, Gauteng, South Africa","Lifetime Likes by City - Pune, Maharashtra, India","Lifetime Likes by City - Rajkot, Gujarat, India","Lifetime Likes by City - Rawalpindi, Punjab, Pakistan","Lifetime Likes by City - Ribeirão Bonito, SP, Brazil","Lifetime Likes by City - Riyadh, Riyadh Region, Saudi Arabia","Lifetime Likes by City - Sharjah, Emirate of Sharjah, United Arab Emirates","Lifetime Likes by City - Sidoarjo, East Java, Indonesia","Lifetime Likes by City - Surat, Gujarat, India","Lifetime Likes by City - Tanta, Gharbia Governorate, Egypt","Lifetime Likes by City - Tunis, Tunis Governorate, Tunisia","Lifetime Likes by City - Umm Suqaym, Dubai, United Arab Emirates","Lifetime Likes by City - Vadodara, Gujarat, India","Lifetime Likes by City - Varanasi, Uttar Pradesh, India","Lifetime Likes by City - Visakhapatnam, Andhra Pradesh, India","Lifetime Likes by City - Zagazig, Al Sharqia Governorate, Egypt"
2017-12-19,,,137,,32,,97,,,61,32,,,34,36,,135,,60,37,,238,,48,59,,,536,289,,35,45,65,126,76,98,48,,,46,51,34,120,54,72,31,133,60,,37,,,,587,51,,30,32,44,,43,65,,146,35,,,33,,,79,,53,,31,,,
2017-12-20,,,137,,32,,101,,,62,32,,,33,36,,129,,59,38,,234,,48,58,,34,535,290,,37,42,64,127,73,96,48,,,46,50,34,123,54,73,30,136,58,,38,,,,586,51,,30,,41,,44,64,,145,34,,,35,,,79,,53,,31,,,
2017-12-21,,,137,,32,,96,,,63,31,,,35,35,,128,,60,38,,234,,48,61,,37,538,291,,37,43,66,125,76,93,46,,,46,50,34,127,54,75,32,136,59,,38,,,,593,52,,30,,34,,47,64,,140,33,,,37,,,79,,53,,33,,,
2017-12-22,,,136,,32,,98,,,63,31,,,37,35,,124,,60,38,,236,,49,61,,38,538,296,,40,44,66,128,76,92,45,,,44,52,34,123,53,74,31,137,58,,39,,,,599,53,,32,,31,,46,63,,141,34,,,37,,,79,,53,,33,,,
2017-12-23,,,140,,32,,101,,,64,31,,,37,35,,126,,61,37,,237,,49,62,,38,536,299,,38,44,65,127,74,89,44,,,43,52,34,128,53,72,32,137,61,,38,,,,597,52,,32,,30,,41,67,,148,33,,,38,,,82,,53,,31,,,
2017-12-24,,,140,,32,,98,,,64,31,,,36,33,,126,,60,36,,234,29,49,63,,39,538,303,,38,42,67,127,72,91,45,,,43,52,33,128,51,73,32,129,60,,38,,,,606,53,,30,,,,41,67,,140,33,,,36,,,81,,53,,31,,,
2017-12-25,,,141,,32,,102,,,63,30,,30,36,34,,130,,60,37,,232,32,49,63,,39,541,303,,37,40,65,128,72,93,49,,,43,54,33,126,52,71,33,130,61,,39,,,,604,55,,,,,,43,67,,140,31,,,38,,,78,,55,,31,,,
2017-12-26,,,142,,31,,101,,,62,31,,,36,34,,126,,58,38,,230,32,46,64,,42,537,302,,36,38,66,125,75,85,49,,,44,53,33,130,52,72,35,130,63,,40,,,,606,53,,29,,,,40,65,,139,32,,,37,,,76,,55,,31,,,
2017-12-27,,,147,,31,,103,,,64,31,,,35,35,,126,,59,37,,230,31,48,66,,42,536,302,,35,39,66,127,75,88,51,,,45,53,33,131,51,71,35,136,63,,44,,,,600,53,,32,,,,36,66,,136,32,,,36,,,79,,54,,30,,,
2017-12-28,,,149,,31,,96,,,64,31,,,35,35,,125,,59,37,,231,,49,66,,42,539,310,,35,39,65,128,77,86,49,,,45,54,33,135,51,71,34,137,69,,45,,,,600,54,,31,,,,38,69,,137,34,,,36,32,,77,,55,,30,,,
2017-12-29,,,157,,31,,100,,,65,30,,,35,35,,124,,57,38,,233,,50,65,,44,540,318,,35,38,66,127,77,86,49,,,48,53,32,134,52,74,33,137,64,,46,,,,607,52,,30,,,,42,72,,138,33,,,35,34,,76,,55,,30,,,
2017-12-30,,,161,,31,,100,,,70,30,,,35,35,,124,,57,38,,249,,50,65,,44,539,326,,35,38,69,127,78,86,49,,,48,53,32,134,52,74,33,137,64,,48,,,,606,52,,30,,,,42,72,,138,33,,,35,34,,76,,55,,30,,,
2017-12-31,,,163,,31,,100,,,77,,,,36,35,,124,,56,38,,257,,50,65,,44,539,334,,35,38,71,127,78,86,49,,,48,53,32,134,52,74,34,137,64,,48,,,,606,52,,30,,,,42,72,,138,33,,,35,35,,76,31,55,,30,,,
2018-01-01,,,169,,31,,100,,,90,30,,,36,35,,124,,56,38,,273,,50,65,,44,539,344,,35,38,78,127,78,86,49,,,48,53,32,134,52,74,34,137,64,,48,,,,606,52,,,,,,42,72,,138,33,,,35,37,,76,34,55,,30,,,
2018-01-02,,,171,,31,,100,,,97,,,30,33,34,,128,,59,36,,286,,45,65,,37,539,350,,35,39,78,127,80,86,45,,,48,55,32,126,50,77,35,135,61,,48,,,,612,50,,,,45,,41,65,,144,31,,,36,37,,78,39,52,,,,,
2018-01-03,,,171,,31,,100,,,106,,,,33,34,,128,,59,36,,299,,45,65,,37,539,350,,35,39,80,127,80,86,45,,,48,55,32,126,50,77,35,135,61,,48,,,,611,50,,,,45,,41,64,,144,31,,,36,37,,78,40,52,,30,,,
2018-01-04,,,172,,,,100,,,109,32,,,33,35,,127,,60,37,,312,,46,64,,34,544,351,,35,38,80,127,76,86,46,,,50,56,32,123,51,78,35,135,61,,50,,,,620,51,,,,52,,38,64,36,145,32,,,36,37,,80,40,53,,,,,
2018-01-05,,,172,,,,96,,,124,31,,,36,34,,128,,60,36,,324,,46,63,,,545,347,,37,37,82,121,76,88,48,,,49,61,32,122,49,78,36,129,63,,51,34,,,619,55,,,,83,,36,70,38,148,32,,,36,38,,80,38,53,,,,,
2018-01-06,,,173,,31,,107,,,124,31,,,36,34,,126,,61,36,,324,,46,62,,,549,349,,37,37,82,126,75,85,49,,,48,61,32,124,50,78,35,133,62,,51,34,,,621,56,,,,91,,37,69,38,146,,,,37,37,,81,38,53,,,,,
