Date,"Weekly Reach by Country - AE","Weekly Reach by Country - AF","Weekly Reach by Country - AR","Weekly Reach by Country - AT","Weekly Reach by Country - AU","Weekly Reach by Country - BA","Weekly Reach by Country - BD","Weekly Reach by Country - BE","Weekly Reach by Country - BH","Weekly Reach by Country - BN","Weekly Reach by Country - BR","Weekly Reach by Country - CA","Weekly Reach by Country - CD","Weekly Reach by Country - CH","Weekly Reach by Country - CL","Weekly Reach by Country - CN","Weekly Reach by Country - CO","Weekly Reach by Country - DE","Weekly Reach by Country - DK","Weekly Reach by Country - DZ","Weekly Reach by Country - EG","Weekly Reach by Country - ES","Weekly Reach by Country - ET","Weekly Reach by Country - FI","Weekly Reach by Country - FR","Weekly Reach by Country - GB","Weekly Reach by Country - GH","Weekly Reach by Country - GN","Weekly Reach by Country - GR","Weekly Reach by Country - HK","Weekly Reach by Country - ID","Weekly Reach by Country - IE","Weekly Reach by Country - IL","Weekly Reach by Country - IN","Weekly Reach by Country - IQ","Weekly Reach by Country - IR","Weekly Reach by Country - IT","Weekly Reach by Country - JO","Weekly Reach by Country - JP","Weekly Reach by Country - KE","Weekly Reach by Country - KH","Weekly Reach by Country - KR","Weekly Reach by Country - KW","Weekly Reach by Country - KZ","Weekly Reach by Country - LB","Weekly Reach by Country - LK","Weekly Reach by Country - LV","Weekly Reach by Country - MA","Weekly Reach by Country - MC","Weekly Reach by Country - MM","Weekly Reach by Country - MX","Weekly Reach by Country - MY","Weekly Reach by Country - MZ","Weekly Reach by Country - NG","Weekly Reach by Country - NL","Weekly Reach by Country - NO","Weekly Reach by Country - NP","Weekly Reach by Country - NZ","Weekly Reach by Country - OM","Weekly Reach by Country - PE","Weekly Reach by Country - PH","Weekly Reach by Country - PK","Weekly Reach by Country - PS","Weekly Reach by Country - QA","Weekly Reach by Country - RO","Weekly Reach by Country - RS","Weekly Reach by Country - RU","Weekly Reach by Country - SA","Weekly Reach by Country - SD","Weekly Reach by Country - SE","Weekly Reach by Country - SG","Weekly Reach by Country - SO","Weekly Reach by Country - SS","Weekly Reach by Country - SY","Weekly Reach by Country - TD","Weekly Reach by Country - TH","Weekly Reach by Country - TJ","Weekly Reach by Country - TN","Weekly Reach by Country - TR","Weekly Reach by Country - TW","Weekly Reach by Country - TZ","Weekly Reach by Country - UG","Weekly Reach by Country - US","Weekly Reach by Country - VN","Weekly Reach by Country - YE","Weekly Reach by Country - ZA","Weekly Reach by Country - ZM"
2017-12-27,3104,5,,,27,,66,8,3291,,10,39,9,10,,,,19,,29,64,9,,,54,266,,,5,,32,,,479,11,,13,19,8,7,,,6,,73,,,14,,,14,12,,14,8,,15,,9,,11,45,,20,,,,60,,7,9,,,6,9,,,9,11,,,,260,,,11,
2017-12-28,2905,,,,24,,60,8,3586,,11,41,9,27,,,,18,,29,60,12,,,55,303,,,5,,31,,,506,12,,13,55,6,7,,,5,,53,,,18,,,12,12,,13,10,,20,,10,,13,48,,19,,,,55,,8,7,,,8,10,7,,11,13,,,,271,,,10,
2017-12-29,2021,5,,,25,,65,5,4756,,12,28,,24,,,5,19,4,28,191,11,,,45,307,,,5,,34,,,497,12,,9,56,,7,,,5,,40,,,22,,,9,12,,11,10,,16,,10,,13,40,,14,,,,48,,6,8,,,6,10,,,11,12,,,,245,,,11,
2017-12-30,1919,5,,,27,,67,,5140,,12,23,,23,,,5,18,28,26,459,12,,,41,316,,,,,36,,,489,12,,8,56,4,6,,,4,,34,,,23,4,,9,11,,11,9,,15,,9,,13,41,,13,,,,44,,7,6,,,5,11,,,11,11,,,,233,,,37,
2017-12-31,2260,5,,,27,,68,,5140,,19,22,,23,,,4,18,32,25,636,12,,,40,318,4,,,,37,,,505,12,,7,56,,6,,,4,,34,,,25,4,,9,11,,12,9,,15,,9,,14,41,,13,,,,44,,7,6,,,,11,4,,12,12,,,,225,,,71,
2018-01-01,2660,6,,,26,,67,5,5156,,20,19,,26,,,,22,35,28,859,11,,,36,320,,,,,39,,,505,13,,8,66,,5,,,4,,35,,,26,4,,8,9,,13,9,,17,,9,,15,41,,13,,,,44,,7,6,5,,,11,4,,12,19,,,,222,,,91,
2018-01-02,2983,6,,,25,,64,5,4836,,19,13,,26,,,4,23,36,26,1061,12,,,29,342,4,,,,28,,,482,11,,7,69,,4,,,,,33,5,,27,,,5,8,,15,9,,19,,8,,14,49,,11,,,,40,,7,4,5,,,7,,,13,18,,,,179,,,108,
2018-01-03,2931,5,,,17,,51,6,3678,,21,11,,26,,,5,22,36,24,1194,10,,,23,247,4,,,,27,,,423,9,,5,71,,,,,,,29,5,45,26,,,7,8,,15,8,5,12,,5,,13,53,,7,,,,36,,5,4,4,,,,,,10,20,,,,185,,,118,
2018-01-04,3711,6,,,16,,59,6,4606,,19,9,,27,,,7,23,38,26,1344,12,,,23,316,,,,,31,,,424,10,,8,68,,,,,,,25,5,113,23,,,8,9,,16,10,,10,,6,,11,58,,11,8,,5,38,,9,,5,,,,,,16,23,,,6,247,,,138,
2018-01-05,4188,6,,,21,,54,6,4736,,20,19,,29,,,6,24,38,29,1351,11,,,21,418,,,,,30,,,472,12,,10,81,,,,,13,,27,5,133,22,,,10,12,,17,16,,10,,8,,12,58,,14,8,,6,45,,9,5,,,,,,,17,25,,,,288,,,143,
2018-01-06,4003,,,,20,,51,6,4230,,20,18,,28,,,6,24,17,29,1185,11,,,20,487,,,,,25,,,465,15,,11,83,,5,,,14,,25,,140,22,,,10,12,,17,18,,7,,10,,6,43,,17,8,,7,42,,6,5,5,,,,,,17,25,,,,289,,,121,
